Institution Reference Number,Institution Name,Address Line 1,Address Line 2,Address Line 3,Town,County,Postcode,Telephone,Management,Type,Status,Date Closed,Email,
203-6475,Longtower Primary School ,BISHOP STREET,,,LONDONDERRY,LONDONDERRY,BT48 6QQ,028 7126 1484,Roman Catholic Maintained,Primary,Open,,info@longtower.derry.ni.sch.uk,
203-6533,Hollybush Primary School ,10 ARDAN ROAD,CULMORE,,LONDONDERRY,LONDONDERRY,BT48 8JN,028 7135 2202,Roman Catholic Maintained,Primary,Open,,info@hollybush.derry.ni.sch.uk,
203-6555,St Eugene's Primary School ,4 FRANCIS STREET,,,LONDONDERRY,LONDONDERRY,BT48 7DS,028 7126 1601,Roman Catholic Maintained,Primary,Open,,info@steugenes.derry.ni.sch.uk,
203-6557,All Saints Primary School ,42 TATTYSALLAGH ROAD,,,OMAGH,TYRONE,BT78 5BR,028 8224 3233,Roman Catholic Maintained,Primary,Open,,info@allsaints.omagh.ni.sch.uk,
203-6574,Bunscoil Cholmcille & Naíscoil Dhoire,40A STEELSTOWN ROAD,,,LONDONDERRY,LONDONDERRY,BT48 8EX,028 7135 9648,Roman Catholic Maintained,Primary,Open,,info@gaeloid.doire.ni.sch.uk,
203-6581,St Patricks Primary School ,22 Racecourse Road ,PENNYBURN,,LONDONDERRY,LONDONDERRY,BT48 7RD,028 7126 6074,Roman Catholic Maintained,Primary,Open,,info@stpatricks.derry.ni.sch.uk,
203-6632,Holy Trinity Primary School ,DERRIN ROAD ; CORNAGRADE,ENNISKILLEN,,ENNISKILLEN,FERMANAGH,BT74 6AZ,028 66323313,Roman Catholic Maintained,Primary,Open,,info@holytrinity.enniskillen.ni.sch.uk,
203-6659,St Macartan's Primary School ,Lacky Road; Tattynageeragh,,,ROSLEA,FERMANAGH,BT92 7NQ,028 6775 1100  ,Roman Catholic Maintained,Primary,Open,,info@stmacartans.enniskillen.ni.sch.uk,
203-6674,Holy Family Primary School,Brookmount Road,,,OMAGH,TYRONE,BT78 5HZ,028 8224 3551,Roman Catholic Maintained,Primary,Open,,info@holyfamily.omagh.ni.sch.uk,
203-6696,St Mary's Primary School,43 Melmount Road,,,STRABANE,TYRONE,BT82 9EF,,Roman Catholic Maintained,Primary,Open,,info@stmarysmelmount.strabane.ni.sch.uk,
203-6703,St Catherine’s Primary School ,Newtownkennedy Street,,,STRABANE,TYRONE,BT82 8HT,028 7138 2272 ,Roman Catholic Maintained,Primary,Open,,info@stcatherinesps.strabane.ni.sch.uk,
203-6712,St Michael's Primary School; Dunamanagh,Plumbridge Road,Dunamanagh,,STRABANE,TYRONE,BT82 0QN,02871398397,Roman Catholic Maintained,Primary,Open,,info@smps.dunnamanagh.ni.sch.uk,
204-6638,Gaelscoil Uí Dhochartaigh,115A BALLYCOLMAN ESTATE,,,STRABANE,TYRONE,BT82 9AQ,028 7188 5388,Other Maintained,Primary,Open,,info@gaelscoiluidhochartaigh.ansrathban.ni.sch.uk,
204-6646,Naíscoil & Gaelscoil Éadain Mhóir,128 LECKY ROAD,,,LONDONDERRY,LONDONDERRY,BT48 6NP,028 7126 8020,Other Maintained,Primary,Open,,info@gaelscoileadainmhoir.derry.ni.sch.uk,
204-6669,Bunscoil an Traonaigh,Drumbrughas North,Enniskillen Road,,LISNASKEA,FERMANAGH,BT92 OPE,028 67724441,Other Maintained,Primary,Open,,info@bunscoilantraonaigh.lisnaskea.ni.sch.uk,
204-6677,Gaelscoil na gCrann,29 Drumnakilly Road,Cranny,,OMAGH,TYRONE,BT79 0JP,028 82 252772,Other Maintained,Primary,Open,,info@gaelscoilnagcrann.anomaigh.ni.sch.uk,
204-6687,Gaelscoil na Daróige,Corrán Uí Nualláin,Baile Mhic Rabhartaigh,Doire,LONDONDERRY,LONDONDERRY,BT48 0ND,02871 371414,Other Maintained,Primary,Open,,info@gaelscoilnadaroige.derry.ni.sch.uk,
204-6689,Gaelscoil Léim an Mhadaidh,57 Church Street,,,LIMAVADY,LONDONDERRY,BT49 0BX, 02877 72 2210          ,Other Maintained,Primary,Open,,info@gaelscoil.limavady.ni.sch.uk,
205-2035,Groarty Primary School ,17 COSHQUIN ROAD,,,LONDONDERRY,LONDONDERRY,BT48 0ND,028 7126 7889,Controlled Integrated,Primary,Open,,info@groartyps.londonderry.ni.sch.uk,
206-6549,Enniskillen Integrated Primary School ,2 DERRYGORE ROAD; DRUMCOO,,,ENNISKILLEN,FERMANAGH,BT74 4FH,028 6632 6799,Grant Maintained Integrated,Primary,Open,,info@enniskillenintegrated.enniskillen.ni.sch.uk,
206-6552,Omagh Integrated Primary School ,72 Crevenagh Road,BT79 0EW,,OMAGH,TYRONE,BT79 0GW,028 8224 2008,Grant Maintained Integrated,Primary,Open,,info@integratedprimary.omagh.ni.sch.uk,
206-6558,Oakgrove Integrated Primary School ,RECTORY FIELD,19D LIMAVADY ROAD,,LONDONDERRY,LONDONDERRY,BT47 6JY,028 7134 9644,Grant Maintained Integrated,Primary,Open,,info@oips.lderry.ni.sch.uk,
206-6665,Roe Valley Integrated Primary School ,153 ROE MILL ROAD,,,LIMAVADY,LONDONDERRY,BT49 9EX,028 7776 8695,Grant Maintained Integrated,Primary,Open,,info@roevalleyips.limavady.ni.sch.uk,
211-6023,The Academy Nursery School,76 ACADEMY ROAD,ROSEMOUNT,,LONDONDERRY,LONDONDERRY,BT48 7LE,028 7126 5520,Controlled,Nursery,Open,,info@academyns.derry.ni.sch.uk,
211-6232,Strathfoyle Nursery School,CLONMEEN DRIVE,STRATHFOYLE,,LONDONDERRY,LONDONDERRY,BT47 6UP,028 7186 0322,Controlled,Nursery,Open,,info@strathfoylens.derry.ni.sch.uk,
211-6233,Lisnagelvin Nursery School,48 RICHILL PARK,,,LONDONDERRY,LONDONDERRY,BT47 5QZ,028 7134 2764,Controlled,Nursery,Open,,info@lisnagelvinns.londonderry.ni.sch.uk,
211-6265,Omagh North Nursery School,64A OLD MOUNTFIELD ROAD,,,OMAGH,TYRONE,BT79 7EG,028 8224 6431,Controlled,Nursery,Open,,info@omaghnorthns.omagh.ni.sch.uk,
211-6266,Bligh's Lane Nursery School,3 BLIGH'S LANE,,,LONDONDERRY,LONDONDERRY,BT48 9PJ,028 7126 7603,Controlled,Nursery,Open,,info@blighslanens.derry.ni.sch.uk,
211-6267,Carnhill Nursery School,1 VILLAGE LANE;GLENGALLIAGH ROAD,,,LONDONDERRY,LONDONDERRY,BT48 8DU,028 7135 3013,Controlled,Nursery,Open,,info@carnhillns.derry.ni.sch.uk,
211-6336,Galliagh Nursery School,1 HEATHER ROAD,GALLIAGH,,LONDONDERRY,LONDONDERRY,BT48 8NX,028 7135 3612,Controlled,Nursery,Open,,info@galliaghns.derry.ni.sch.uk,
211-6345,Belmont Nursery School,19B RACECOURSE ROAD,,,LONDONDERRY,LONDONDERRY,BT48 8NF,028 7126 6241,Controlled,Nursery,Open,,info@belmontnurseryschool.co.uk,
211-6348,Trench Road Nursery School,TRENCH ROAD,WATERSIDE,,LONDONDERRY,LONDONDERRY,BT47 2DT,028 7134 6110,Controlled,Nursery,Open,,info@trenchroadns.derry.ni.sch.uk,
211-6608,Enniskillen Nursery,29B DUBLIN ROAD,,,ENNISKILLEN,FERMANAGH,BT74 6HH,028 6634 2694,Controlled,Nursery,Open,,info@enniskillenns.enniskillen.ni.sch.uk,
211-6628,Limavady Nursery School,9A GREYSTONE ROAD,,,LIMAVADY,LONDONDERRY,BT49 0ND,028 7772 9747,Controlled,Nursery,Open,,info@limavadyns.limavady.ni.sch.uk,
221-0065,Castlederg High School,16 CASTLEGORE ROAD,,,CASTLEDERG,TYRONE,BT81 7RU,028 8167 1272,Controlled,Secondary,Open,,info@chs.castlederg.ni.sch.uk,
221-0125,Omagh High School,14 CREVENAGH ROAD,,,OMAGH,TYRONE,BT79 0EQ,028 8224 2656,Controlled,Secondary,Open,,info@omaghhigh.omagh.ni.sch.uk,
221-0302,Limavady High School,64 IRISH GREEN STREET,,,LIMAVADY,LONDONDERRY,BT49 9AN,028 7776 2526,Controlled,Secondary,Open,,info@limavadyhigh.limavady.ni.sch.uk,
221-0306,Lisneal College,70 Crescent Link Road,,,LONDONDERRY,LONDONDERRY,BT47 5FQ,028 7134 8888,Controlled,Secondary,Open,,info@lisnealcollege.londonderry.ni.sch.uk,
221-0312,Devenish College,1 Alego Drive,Derrychara,,ENNISKILLEN,FERMANAGH,BT74 6JL,02866 322923,Controlled,Secondary,Open,,info@devenishcollege.ekn.ni.sch.uk,
223-0077,St Mary's Limavady,IRISH GREEN STREET,,,LIMAVADY,LONDONDERRY,BT49 9AN,028 77762360,Roman Catholic Maintained,Secondary,Open,,info@stmarys.limavady.ni.sch.uk,
223-0081,St Mary's College,35 Northland Road,,,LONDONDERRY,LONDONDERRY,BT48 0AN,028 7136 2154,Roman Catholic Maintained,Secondary,Open,,info@stmarys.derry.ni.sch.uk,
223-0085,St Mary's High School,160 BROLLAGH ROAD; BROLLAGH,BELLEEK,,ENNISKILLEN,FERMANAGH,BT93 3AH,028 6865 8257,Roman Catholic Maintained,Secondary,Open,,info@stmarys.belleek.ni.sch.uk,
223-0099,St Fanchea's College,21Coa Road,Chanterhill ,,ENNISKILLEN,FERMANAGH,BT74 4AD,028 6632 2919,Roman Catholic Maintained,Secondary,Open,,info@stfancheascollege.enniskillen.ni.sch.uk,
223-0100,St Joseph's College,CHANTERHILL ROAD,,,ENNISKILLEN,FERMANAGH,BT74 6DE,028 6632 2918,Roman Catholic Maintained,Secondary,Open,,info@stjosephs.enniskillen.ni.sch.uk,
223-0109,St Mary's College,40 CHURCH STREET; LISNARICK ROAD,IRVINESTOWN,,ENNISKILLEN,FERMANAGH,BT94 1EL,028 68621318,Roman Catholic Maintained,Secondary,Open,,info@stmarys.irvinestown.ni.sch.uk,
223-0122,St Patricks & St Brigids College,55 MAIN STREET,CLAUDY,,LONDONDERRY,LONDONDERRY,BT47 4HR,028 7133 8317,Roman Catholic Maintained,Secondary,Open,,info@spbcollege.claudy.ni.sch.uk,
223-0131,St Joseph's Boys' School,WESTWAY,,,LONDONDERRY,LONDONDERRY,BT48 9NX,028 7126 2923,Roman Catholic Maintained,Secondary,Open,,info@stjosephs.derry.ni.sch.uk,
223-0138,Dean Maguirc College,26 TERMON ROAD,CARRICKMORE; SIXMILECROSS,,OMAGH,TYRONE,BT79 9JR,028 8076 1272,Roman Catholic Maintained,Secondary,Open,,info@deanmaguirccollege.carrickmore.ni.sch.uk,
223-0144,St Patrick's College,9 CURRAGH ROAD,DUNGIVEN,,LONDONDERRY,LONDONDERRY,BT47 4SE,028 7774 1324,Roman Catholic Maintained,Secondary,Open,,info@stpatricks.dungiven.ni.sch.uk,
223-0148,St John's Business and Enterprise College,37 OMAGH ROAD,DROMORE,,OMAGH,TYRONE,BT78 3AL,028 8289 8284,Roman Catholic Maintained,Secondary,Open,,info@stjohns.dromore.ni.sch.uk,
223-0166,St Aidan's High School,138 MAIN STREET; DERRYLIN,,,ENNISKILLEN,FERMANAGH,BT92 9LD,028 6774 8337,Roman Catholic Maintained,Secondary,Open,,info@staidans.derrylin.ni.sch.uk,
223-0188,St Cecilia's  College,Bligh's Lane,,,LONDONDERRY,LONDONDERRY,BT48 9PJ,028 7128 1800,Roman Catholic Maintained,Secondary,Open,,info@stcecilias.derry.ni.sch.uk,
223-0225,St Brigid's College,1 GLENGALLIAGH ROAD,SHANTALLOW,,LONDONDERRY,LONDONDERRY,BT48 8DU,028 7135 1002,Roman Catholic Maintained,Secondary,Open,,info@stbrigids.derry.ni.sch.uk,
223-0298,Sacred Heart College,KEVLIN ROAD,,,OMAGH,TYRONE,BT78 1LG,028 8224 2717,Roman Catholic Maintained,Secondary,Open,,info@shc.omagh.ni.sch.uk,
223-0301,Holy Cross College,35 Melmount Road,,,STRABANE,TYRONE,BT82 9EF,028 7188 0315,Roman Catholic Maintained,Secondary,Open,,info@holycrosscollege.strabane.ni.sch.uk,
223-0322,St Kevin's College,38 Nutfield Road; Derryree,Lisnaskea,Enniskillen,BELLEEK,FERMANAGH,BT92 OLA,028 6772 1417,Roman Catholic Maintained,Secondary,Open,,info@stkevins.lisnaskea.ni.sch.uk,
224-0319,Gaelcholáiste Dhoire ,Dungiven Castle,145 Main Street,Dungiven,LONDONDERRY,LONDONDERRY,BT47 4LF,028 7774 1015,Other Maintained,Secondary,Open,,info@gcd.doire.ni.sch.uk,
226-0276,Oakgrove Integrated College,STRADREAGH,GRANSHA PARK; CLOONEY ROAD,,LONDONDERRY,LONDONDERRY,BT47 6TG,028 7186 0443,Grant Maintained Integrated,Secondary,Open,,info@oakgrovecollege.derry.ni.sch.uk,
226-0280,Erne Integrated College,5A DERRYGORE ROAD; DRUMCOO,,,ENNISKILLEN,FERMANAGH,BT74 4FY,028 6632 5996,Grant Maintained Integrated,Secondary,Open,,info@ernecollege.enniskillen.ni.sch.uk,
226-0283,Drumragh Integrated College,70 Crevenagh Road,,,OMAGH,TYRONE,BT79 0GW,028 8225 2440,Grant Maintained Integrated,Secondary,Open,,info@drumraghcollege.omagh.ni.sch.uk,
231-6528,Knockavoe School & Resource Centre,10A MELMOUNT GARDENS,,,STRABANE,TYRONE,BT82 9EB,028 7188 3319,Controlled,Special,Open,,info@knockavoe.strabane.ni.sch.uk,
231-6661,Arvalee School and Resource Centre,Strule Campus,Gortin Road,,OMAGH,TYRONE,BT79 7DH,028 8224 9182,Controlled,Special,Open,,info@asrc.omagh.ni.sch.uk,
231-6662,Rossmar Special School,2 Ballyquin Road,Limavady,,LIMAVADY,LONDONDERRY,BT49 9ET,028 77762351,Controlled,Special,Open,,info@rossmar.limavady.ni.sch.uk,
231-6694,Willowbridge School,8 LOUGH SHORE ROAD,Drumlyon,,ENNISKILLEN,FERMANAGH,BT74 7EY,028 66329947 ,Controlled,Special,Open,,info@willowbridge.enniskillen.ni.sch.uk,
231-6695,Ardnashee School and College ,15 Racecourse Road,,,LONDONDERRY,LONDONDERRY,BT48 7RE,028 71351266 / 028 71263270,Controlled,Special,Open,,info@asc.lderry.ni.sch.uk,
241-0048,Limavady Grammar School,3 BALLYQUIN ROAD,,,LIMAVADY,LONDONDERRY,BT49 9ET,028 7776 0950,Controlled,Grammar,Open,,info@lgs.limavady.ni.sch.uk,
241-0066,Omagh Academy,21-23 DUBLIN ROAD,,,OMAGH,TYRONE,BT78 1HF,028 8224 2688,Controlled,Grammar,Open,,info@omaghacademy.omagh.ni.sch.uk,
241-0311,Strabane Academy,Milltown House,4 Liskey Road,,STRABANE,TYRONE,BT82 8NW,02871 382319,Controlled,Grammar,Open,,info@Strabaneacademy.strabane.ni.sch.uk,
242-0041,Mount Lourdes Grammar School,4 BELMORE STREET,,,ENNISKILLEN,FERMANAGH,BT74 6AB,028 6632 2265,Voluntary,Grammar,Open,,info@mountlds.enniskillen.ni.sch.uk,
242-0043,St Michael's College,CHANTERHILL ROAD,,,ENNISKILLEN,FERMANAGH,BT74 6DE,028 6632 2935,Voluntary,Grammar,Open,,info@stmichaels.enniskillen.ni.sch.uk,
242-0052,Thornhill College, 142 CULMORE ROAD,,,LONDONDERRY,LONDONDERRY,BT48 8JF,028 7135 5800,Voluntary,Grammar,Open,,info@thornhill.derry.ni.sch.uk,
242-0054,St Columb's College,23 BUNCRANA ROAD,,,LONDONDERRY,LONDONDERRY,BT48 8NH,028 7128 5000,Voluntary,Grammar,Open,,info@stcolumbs.derry.ni.sch.uk,
242-0064,Christian Brothers' Grammar School,KEVLIN ROAD,,,OMAGH,TYRONE,BT78 1LD,028 8224 3567,Voluntary,Grammar,Open,,info@cbs.omagh.ni.sch.uk,
242-0065,Loreto Grammar School,JAMES STREET,,,OMAGH,TYRONE,BT78 1DL,028 8224 3633,Voluntary,Grammar,Open,,info@loretogs.omagh.ni.sch.uk,
242-0229,Foyle College ,67 Limavady Road,,,LONDONDERRY,LONDONDERRY,BT47 6LR,028 7126 9321,Voluntary,Grammar,Open,, info@foylecollege.derry.ni.sch.uk,
242-0287,Lumen Christi College,181 BISHOP STREET,,,LONDONDERRY,LONDONDERRY,BT48 6UJ,028 7136 2595,Voluntary,Grammar,Open,,info@lumenchristi.derry.ni.sch.uk,
242-0320,Enniskillen Royal Grammar School,1 Lough Shore Road,Portora,,ENNISKILLEN,FERMANAGH,BT74 5HD,028 6632 2658,Voluntary,Grammar,Open,,info@ergs.enniskillen.ni.sch.uk,
301-0404,Tildarg Primary School ,6 TILDARG ROAD,,,BALLYCLARE,ANTRIM,BT39 9JU,028 9332 3948,Controlled,Primary,Open,,info@tildargps.ballyclare.ni.sch.uk,
301-0466,Longstone Primary School ,82 CARNEARNEY ROAD,AHOGHILL,,BALLYMENA,ANTRIM,BT42 2PN,028 2587 8223,Controlled,Primary,Open,,info@longstoneps.ballymena.ni.sch.uk,
301-0470,Carnalbanagh Primary School ,1 GLENVIEW ROAD,GLENARM,,BALLYMENA,ANTRIM,BT44 0DL,028 2884 1322,Controlled,Primary,Open,,info@carnalbanaghps.ballymena.ni.sch.uk,
301-0486,Larne and Inver Primary School ,1a GLYNN ROAD,,,LARNE,ANTRIM,BT40 3AY,028 2827 3206,Controlled,Primary,Open,,info@larneandinverps.larne.ni.sch.uk,
301-0553,Carrickfergus Model Primary School ,4 BELFAST ROAD,,,CARRICKFERGUS,ANTRIM,BT38 8BU,028 9335 1560,Controlled,Primary,Open,,info@carrickmodelps.carrickfergus.ni.sch.uk,
301-0558,Duneane Primary School ,166 CHURCH ROAD,TOOMEBRIDGE,,ANTRIM,ANTRIM,BT41 3RD,028 7965 0854,Controlled,Primary,Open,,info@duneaneps.toomebridge.ni.sch.uk,
301-0570,Straid Primary School ,3 IRISH HILL ROAD,,,BALLYCLARE,ANTRIM,BT39 9NQ,028 9335 2686,Controlled,Primary,Open,,info@straidps.ballyclare.ni.sch.uk,
301-0572,Carrowreagh Primary School ,110B FINVOY ROAD,,,BALLYMONEY,ANTRIM,BT53 7JL,028 2766 2440,Controlled,Primary,Open,,info@carrowreaghps.ballymoney.ni.sch.uk,
301-0594,Garryduff Primary School ,133 GARRYDUFF ROAD,,,BALLYMONEY,ANTRIM,BT53 7DR,028 2766 3489,Controlled,Primary,Open,,info@garryduffps.ballymoney.ni.sch.uk,
301-0631,Ballyclare Primary School ,DOAGH ROAD,,,BALLYCLARE,ANTRIM,BT39 9BG,028 9332 2389,Controlled,Primary,Open,,info@ballyclareps.ballyclare.ni.sch.uk,
301-0642,Parkgate Primary School ,79 GRANGE ROAD,,,BALLYCLARE,ANTRIM,BT39 0DH,028 9335 2888,Controlled,Primary,Open,,info@parkgateps.ballyclare.ni.sch.uk,
301-0646,Olderfleet Primary School ,116-128 CURRAN ROAD,,,LARNE,ANTRIM,BT40 1BX,028 2827 6524,Controlled,Primary,Open,,info@olderfleetps.larne.ni.sch.uk,
301-0696,Woodburn Primary School ,114 WOODBURN ROAD,,,CARRICKFERGUS,ANTRIM,BT38 9AB,028 9335 1677,Controlled,Primary,Open,,info@woodburn.carrickfergus.ni.sch.uk,
301-0714,Buick Memorial Primary School ,62 MAIN STREET,CULLYBACKEY,,BALLYMENA,ANTRIM,BT42 1BW,028 2588 0368,Controlled,Primary,Open,,info@buickmemorialps.cullybackey.ni.sch.uk,
301-0726,Dunseverick Primary School ,215 WHITEPARK ROAD,DUNSEVERICK,,BUSHMILLS,ANTRIM,BT57 8SR,028 2073 1600,Controlled,Primary,Open,,info@dunseverickps.bushmills.ni.sch.uk,
301-0741,Creavery Primary School ,38 THORNHILL ROAD,,,ANTRIM,ANTRIM,BT41 2LH,028 9446 6915,Controlled,Primary,Open,,info@creaveryps.antrim.ni.sch.uk,
301-0745,Loanends Primary School ,192 SEVENMILE STRAIGHT,NUTTS CORNER,,CRUMLIN,ANTRIM,BT29 4YR,028 9443 2314,Controlled,Primary,Open,,info@loanends.crumlin.ni.sch.uk,
301-0754,Doagh Primary School ,20 MAIN STREET,DOAGH,,BALLYCLARE,ANTRIM,BT39 0QL,028 9334 0779,Controlled,Primary,Open,,info@doaghps.ballyclare.ni.sch.uk,
301-0779,The Thompson Primary School,42 MOSSLEY ROAD,,,BALLYCLARE,ANTRIM,BT39 9RX,028 9335 2361,Controlled,Primary,Open,,info@thompsonps.ballyclare.ni.sch.uk,
301-0780,Kirkinriola Primary School ,5 CLOUGHER ROAD,,,BALLYMENA,ANTRIM,BT43 6TB,028 2564 4959,Controlled,Primary,Open,,info@kirkinriolaps.ballymena.ni.sch.uk,
301-0781,Harryville Primary School ,CASEMENT STREET,,,BALLYMENA,ANTRIM,BT42 4BY,028 2565 6581,Controlled,Primary,Open,,info@harryvilleps.ballymena.ni.sch.uk,
301-0785,Eden Primary School ,LARNE ROAD,,,CARRICKFERGUS,ANTRIM,BT38 7NL,028 9335 1958,Controlled,Primary,Open,,info@edenps.carrickfergus.ni.sch.uk,
301-0787,Lislagan Primary School ,50 LISLAGAN ROAD,,,BALLYMONEY,ANTRIM,BT53 7JF,028 2766 4424,Controlled,Primary,Open,,info@lislaganps.ballymoney.ni.sch.uk,
301-0794,Gracehill Primary School ,19 CHURCH ROAD,,,BALLYMENA,ANTRIM,BT42 2NL,028 2564 3482,Controlled,Primary,Open,,info@gracehillps.ballymena.ni.sch.uk,
301-0795,Landhead Primary School ,78 KILRAUGHTS ROAD,,,BALLYMONEY,ANTRIM,BT53 7HL,028 2766 3068,Controlled,Primary,Open,,info@landheadps.ballymoney.ni.sch.uk,
301-0796,Eden Primary School ,33 VOW ROAD,,,BALLYMONEY,ANTRIM,BT53 7PB,028 2766 3309,Controlled,Primary,Open,,info@eden.ballymoney.ni.sch.uk,
301-0802,Ballynure Primary School ,2 LISMENARY ROAD,BALLYNURE,,BALLYCLARE,ANTRIM,BT39 9UE,028 9332 3113,Controlled,Primary,Open,,info@ballynureps.ballynure.ni.sch.uk,
301-0804,Straidbilly Primary School ,85 CARNBORE ROAD,LISCOLMAN,,BALLYMONEY,ANTRIM,BT53 8EE,028 2074 1520,Controlled,Primary,Open,,info@straidbillyps.ballymoney.ni.sch.uk,
301-0808,Glynn Primary School ,26 MAIN ROAD,GLYNN,,LARNE,ANTRIM,BT40 3HF,028 2827 6133,Controlled,Primary,Open,,info@glynnps.larne.ni.sch.uk,
301-0809,Ballycarry Primary School ,23 HILLHEAD ROAD,BALLYCARRY,,CARRICKFERGUS,ANTRIM,BT38 9HE,028 9335 3706,Controlled,Primary,Open,,info@ballycarryps.carrickfergus.ni.sch.uk,
301-0816,Randalstown Central Primary School ,4 CHURCH ROAD,RANDALSTOWN,,ANTRIM,ANTRIM,BT41 3AJ,028 9447 2519,Controlled,Primary,Open,,info@randalstownps.randalstown.ni.sch.uk,
301-0817,Greenisland Primary School ,UPPER STATION ROAD,GREENISLAND,,CARRICKFERGUS,ANTRIM,BT38 8RA,028 9086 2940,Controlled,Primary,Open,,info@greenislandps.carrickfergus.ni.sch.uk,
301-0818,Moorfields Primary School ,180 MOORFIELDS ROAD,,,BALLYMENA,ANTRIM,BT42 3EF,028 2589 1448,Controlled,Primary,Open,,info@moorfields.ballymena.ni.sch.uk,
301-0822,Groggan Primary School ,179 PORTGLENONE ROAD,RANDALSTOWN,,ANTRIM,ANTRIM,BT41 3EU,028 9447 2170,Controlled,Primary,Open,,info@grogganps.randalstown.ni.sch.uk,
301-0825,Carnaghts Primary School ,48 VALLEY ROAD,SHANKBRIDGE,,BALLYMENA,ANTRIM,BT42 2LX,028 2589 1403,Controlled,Primary,Open,,info@carnaghtsps.ballymena.ni.sch.uk,
301-0826,The Diamond Primary School ,107 DREEN ROAD,CULLYBACKEY,,BALLYMENA,ANTRIM,BT42 1EE,028 2588 0709,Controlled,Primary,Open,,info@thediamondps.ballymena.ni.sch.uk,
301-0827,Whitehouse Primary School ,2 DOAGH ROAD,,,NEWTOWNABBEY,ANTRIM,BT37 9NZ,028 9086 9252,Controlled,Primary,Open,,info@whitehouseps.newtownabbey.ni.sch.uk,
301-0828,Kilbride Central Primary School,56 MOYRA ROAD,DOAGH,,BALLYCLARE,ANTRIM,BT39 0SQ,028 9334 0321,Controlled,Primary,Open,,info@kilbridecentralps.ballyclare.ni.sch.uk,
301-0829,Antrim Primary School ,31 STATION ROAD,,,ANTRIM,ANTRIM,BT41 4AB,028 9442 8226,Controlled,Primary,Open,,info@antrimps.antrim.ni.sch.uk,
301-0834,Clough Primary School ,20 DRUMAGROVE ROAD,CLOUGH,,BALLYMENA,ANTRIM,BT44 9RY,028 2568 5472,Controlled,Primary,Open,,info@cloughps.ballymena.ni.sch.uk,
301-0835,Kells & Connor Primary School ,145 LIMINARY ROAD,KELLS,,BALLYMENA,ANTRIM,BT42 3LS,028 2589 1265,Controlled,Primary,Open,,info@kellsandconnorps.ballymena.ni.sch.uk,
301-0841,Carrickfergus Central Primary School ,THOMAS STREET,,,CARRICKFERGUS,ANTRIM,BT38 8AL,028 9335 1272,Controlled,Primary,Open,,info@carrickcentralps.carrickfergus.ni.sch.uk,
301-0842,William Pinkerton Memorial Primary School,182 KNOCK ROAD,DERVOCK,,BALLYMONEY,ANTRIM,BT53 8BB,028 2074 1585,Controlled,Primary,Open,,info@thewilliampinkertonmemps.ballymoney.ni.sch.uk,
301-0846,Whiteabbey Primary School ,20-30 OLD MANSE ROAD,,,NEWTOWNABBEY,ANTRIM,BT37 0RU,028 9086 2185,Controlled,Primary,Open,,info@whiteabbeyps.newtownabbey.ni.sch.uk,
301-0847,Portrush Primary School ,CROCKNAMACK ROAD,,,PORTRUSH,ANTRIM,BT56 8JW,028 7082 2333,Controlled,Primary,Open,,info@portrushps.portrush.ni.sch.uk,
301-0850,Upper Ballyboley Primary School ,36 BRAEPARK ROAD,,,BALLYCLARE,ANTRIM,BT39 9UW,028 9332 3915,Controlled,Primary,Open,,info@upperballyboleyps.ballyclare.ni.sch.uk,
301-0860,Sunnylands Primary School ,SUNNYLANDS AVENUE,,,CARRICKFERGUS,ANTRIM,BT38 8JJ,028 9336 2333,Controlled,Primary,Open,,info@sunnylandsps.carrickfergus.ni.sch.uk,
301-0862,Abbots Cross Primary School ,86 DOAGH ROAD,,,NEWTOWNABBEY,ANTRIM,BT37 9QW,028 9086 4171,Controlled,Primary,Open,,info@abbotscrossps.newtownabbey.ni.sch.uk,
301-0870,Moyle Primary School ,18 SALLAGH PARK,,,LARNE,ANTRIM,BT40 1NS,028 2827 3903,Controlled,Primary,Open,,info@moyleps.larne.ni.sch.uk,
301-0873,Bushmills Primary School ,5 PRIESTLAND ROAD,,,BUSHMILLS,ANTRIM,BT57 8QW,028 2073 1416,Controlled,Primary,Open,,info@bushmillsps.bushmills.ni.sch.uk,
301-0874,Whitehead Primary School ,3 ISLANDMAGEE ROAD,WHITEHEAD,,CARRICKFERGUS,ANTRIM,BT38 9NE,028 9335 3280,Controlled,Primary,Open,,info@whiteheadps.whitehead.ni.sch.uk,
301-0875,Ballymena Primary School ,101 BALLYMONEY ROAD,,,BALLYMENA,ANTRIM,BT43 5BX,028 2565 6082,Controlled,Primary,Open,,info@ballymenaps.ballymena.ni.sch.uk,
301-0878,Kilmoyle Primary School ,77 BENVARDIN ROAD,,,BALLYMONEY,ANTRIM,BT53 6NS,028 2074 1614,Controlled,Primary,Open,,info@kilmoyleps.ballymoney.ni.sch.uk,
301-0879,Straidhavern Primary School ,3 STRAIDHAVERN ROAD,NUTTS CORNER,,CRUMLIN,ANTRIM,BT29 4SN,028 9082 5530,Controlled,Primary,Open,,info@straidhavernps.crumlin.ni.sch.uk,
301-0880,King's Park Primary School ,KING'S DRIVE,,,NEWTOWNABBEY,ANTRIM,BT37 0DG,028 9036 5132,Controlled,Primary,Open,,info@kingsparkps.newtownabbey.ni.sch.uk,
